HSCHOOL,AC_YEAR,AC_GRADE,Linear Algebra,Calculus I,Basic Mechanics,Chemistry I,Fundamentals of Informatics,Geometry,Calculus II,Basic Thermodynamics,Chemistry II,Engineering Drawing,MEAN,STD,PASSED,FAILED,NUM_SUBJ,Maths,Physics,Chemistry,Informatics,MEAN_CRED,ENROL_ECTS,PASS_ECTS,ALPHA,RANK_MEAN,NUM_STUD,RANKING
INFANT JESÚS,2015,11.781,6.675,4.925,4.75,5.8,3.75,4.05,4.033,6.3,4.633,5.7,4.732,1.732,5.0,3.75,8.75,4.858,5.112,4.8,3.5,4.884,62.625,37.125,0.597,3.342,4,103
CARDENAL SPíNOLA-ABAT OLIBA,2010,10.36,5.0,7.0,5.7,6.2,0.1,5.0,6.6,3.9,5.9,6.7,5.21,2.03,8.0,2.0,10.0,5.9,4.8,6.05,3.4,5.86,90.0,60.0,0.667,3.907,1,137
CARDENAL SPíNOLA-ABAT OLIBA,2012,11.795,5.25,5.8,5.2,7.15,7.8,4.8,5.25,5.35,7.0,5.85,5.945,1.155,8.5,1.5,10.0,5.275,5.275,7.075,6.825,6.152,69.0,60.0,0.885,5.435,2,64
CARDENAL SPíNOLA-ABAT OLIBA,2015,12.736,9.8,6.6,6.0,7.9,8.7,5.7,6.3,5.8,7.6,6.8,7.12,1.36,10.0,0.0,10.0,7.1,5.9,7.75,7.75,7.1,60.0,60.0,1.0,7.1,1,9
INST.PAU CASALS,2010,9.804,0.0,5.5,6.7,6.1,0.7,5.0,5.0,3.9,4.2,6.0,4.31,2.26,6.0,4.0,10.0,3.875,5.3,5.15,3.35,5.945,99.0,60.0,0.606,3.603,1,151
INST.PAU CASALS,2011,11.672,6.8,9.5,6.2,7.1,7.2,7.9,6.5,5.7,7.8,6.2,7.09,1.1,10.0,0.0,10.0,7.675,5.95,7.45,6.7,7.05,60.0,60.0,1.0,7.05,1,15
INST.LA LLAUNA,2010,10.801,5.55,4.95,6.05,6.35,5.6,4.4,6.6,5.35,7.5,6.4,5.875,1.05,8.0,2.0,10.0,5.375,5.7,6.925,6.0,6.168,72.0,60.0,0.857,5.31,2,68
INST.LA LLAUNA,2012,11.702,5.0,3.2,5.0,6.5,5.0,4.8,3.1,6.5,5.9,3.0,4.8,1.32,6.0,4.0,10.0,4.025,5.75,6.2,4.0,5.418,85.5,60.0,0.702,3.802,1,152
CLARET-BARCELONA,2010,11.378,2.0,5.1,5.7,6.2,6.4,4.4,4.0,4.2,3.7,9.0,5.07,1.9,5.0,5.0,10.0,3.875,4.95,4.95,7.7,6.04,94.5,60.0,0.635,3.835,1,143
CLARET-BARCELONA,2012,10.826,5.6,4.0,5.0,4.3,3.3,4.2,3.4,5.7,6.1,5.7,4.73,1.02,5.0,5.0,10.0,4.3,5.35,5.2,4.5,5.99,90.0,60.0,0.667,3.993,1,139
CLARET-BARCELONA,2015,12.538,8.0,6.0,7.7,8.7,9.4,6.4,5.5,7.0,6.9,7.6,7.32,1.21,10.0,0.0,10.0,6.475,7.35,7.8,8.5,7.338,60.0,60.0,1.0,7.338,1,6
MARISTES CHAMPAGNAT,2010,10.69,3.0,5.6,5.6,6.4,2.3,5.5,7.2,5.3,7.8,8.5,5.72,1.95,8.0,2.0,10.0,5.325,5.45,7.1,5.4,6.848,72.0,60.0,0.833,5.706,1,50
MARISTES CHAMPAGNAT,2013,11.016,5.7,5.1,5.2,7.4,5.6,5.5,5.2,4.3,4.1,1.5,4.96,1.51,7.0,3.0,10.0,5.375,4.75,5.75,3.55,5.69,78.0,60.0,0.769,4.377,1,112
MARISTES CHAMPAGNAT,2014,7.502,4.1,4.5,3.6,4.1,5.3,3.2,0.3,4.5,6.6,1.3,3.75,1.83,2.0,8.0,10.0,3.025,4.05,5.35,3.3,5.388,109.5,40.5,0.37,1.993,1,164
INST.FRANCISCO DE GOYA,2010,9.941,4.4,4.55,4.9,5.75,5.05,4.95,4.7,5.1,6.3,6.45,5.215,1.09,6.5,3.5,10.0,4.65,5.0,6.025,5.75,5.938,81.0,60.0,0.75,4.45,2,107
INST.FRANCISCO DE GOYA,2011,10.421,4.733,5.033,4.2,4.0,5.567,6.05,5.75,6.2,5.25,4.367,4.587,1.217,6.0,2.667,8.667,4.983,4.433,3.75,4.967,4.351,64.0,40.0,0.617,3.845,3,142
INST.FRANCISCO DE GOYA,2013,10.492,5.0,3.5,4.0,5.0,3.7,4.0,1.4,5.2,6.0,5.1,4.29,1.29,5.0,5.0,10.0,3.475,4.6,5.5,4.4,5.588,108.0,60.0,0.556,3.104,1,161
INST.FRANCISCO DE GOYA,2015,9.682,5.3,3.0,2.8,4.1,2.8,3.4,,,2.4,3.5,3.41,0.92,1.0,7.0,8.0,3.9,2.8,3.25,3.15,3.528,66.0,18.0,0.273,0.962,1,180
"SANT JOAN BOSCO, COL·LEGI",2010,10.308,4.267,3.467,4.833,5.433,4.733,5.033,4.133,4.767,6.067,5.8,4.853,1.377,5.0,5.0,10.0,4.225,4.8,5.75,5.267,6.115,95.5,60.0,0.641,3.935,3,135
"SANT JOAN BOSCO, COL·LEGI",2011,10.834,6.45,7.5,5.0,7.45,6.1,6.95,7.6,7.5,7.5,6.3,6.835,1.185,9.5,0.5,10.0,7.125,6.25,7.475,6.2,6.93,63.0,60.0,0.954,6.672,2,28
"SANT JOAN BOSCO, COL·LEGI",2012,11.436,3.45,4.95,3.8,2.7,0.7,2.4,1.65,4.35,6.5,3.15,3.365,2.385,3.5,6.5,10.0,3.112,4.075,4.6,1.925,6.312,99.75,60.0,0.602,3.812,2,149
"SANT JOAN BOSCO, COL·LEGI",2013,10.934,6.5,5.8,7.5,6.7,6.3,7.0,5.1,5.0,5.7,7.9,6.35,0.97,10.0,0.0,10.0,6.1,6.25,6.2,7.1,6.405,60.0,60.0,1.0,6.405,1,34
"SANT JOAN BOSCO, COL·LEGI",2014,10.905,6.25,7.55,5.75,7.25,7.5,6.85,5.95,5.45,6.45,7.2,6.62,0.86,10.0,0.0,10.0,6.65,5.6,6.85,7.35,6.639,60.0,60.0,1.0,6.639,2,25
"SANT JOAN BOSCO, COL·LEGI",2015,10.322,6.5,10.0,5.4,7.8,7.8,5.0,6.0,5.0,6.0,7.7,6.72,1.59,10.0,0.0,10.0,6.875,5.2,6.9,7.75,6.762,60.0,60.0,1.0,6.762,1,19
ESCOLA PIA BALMES,2010,9.913,5.15,4.85,4.15,5.75,6.1,5.0,6.2,4.75,5.0,6.0,5.295,1.005,8.0,2.0,10.0,5.3,4.45,5.375,6.05,5.63,72.0,60.0,0.857,4.803,2,90
ESCOLA PIA BALMES,2012,11.878,6.5,4.2,5.2,5.6,5.0,5.2,6.6,5.5,5.5,5.9,5.52,0.71,9.0,1.0,10.0,5.625,5.35,5.55,5.45,5.81,66.0,60.0,0.909,5.282,1,72
ESCOLA PIA BALMES,2014,10.79,3.5,4.0,4.6,2.9,2.1,5.2,3.0,5.0,3.4,2.0,3.57,1.12,2.0,8.0,10.0,3.925,4.8,3.15,2.05,5.538,115.5,60.0,0.519,2.877,1,152
BIENAVENTURADA VIRGEN MARÍA,2010,11.117,6.5,6.0,4.85,6.95,6.25,5.55,6.3,6.0,6.1,3.85,5.835,1.105,9.0,1.0,10.0,6.088,5.425,6.525,5.05,6.04,66.75,60.0,0.899,5.431,2,61
JESUS I MARIA - SANT GERVASI,2010,11.145,4.317,5.783,6.2,5.0,4.7,6.24,5.14,4.68,5.26,6.1,5.002,1.235,6.333,2.833,9.167,4.975,5.433,4.692,4.933,5.514,68.75,50.0,0.688,4.552,6,100
JESUS I MARIA - SANT GERVASI,2011,11.692,6.45,6.0,5.6,6.15,7.7,5.85,6.65,5.8,6.75,7.05,6.4,0.655,10.0,0.0,10.0,6.238,5.7,6.45,7.375,6.408,60.0,60.0,1.0,6.408,2,34
JESUS I MARIA - SANT GERVASI,2012,9.142,0.0,0.0,0.1,0.0,0.0,,,,,,0.02,0.04,0.0,5.0,5.0,0.0,0.1,0.0,0.0,0.56,72.0,6.0,0.083,0.047,1,198
JESUS I MARIA - SANT GERVASI,2013,11.425,4.917,5.967,5.75,6.6,5.4,5.45,4.55,5.1,5.083,5.433,5.425,1.308,6.667,3.333,10.0,5.221,5.425,5.842,5.417,6.204,83.0,60.0,0.747,4.748,6,98
JESUS I MARIA - SANT GERVASI,2014,11.136,5.54,4.12,3.94,5.78,3.6,5.1,4.04,3.78,6.4,3.62,4.592,1.394,5.2,4.8,10.0,4.7,3.86,6.09,3.61,5.928,95.7,60.0,0.668,3.994,5,112
JESUS I MARIA - SANT GERVASI,2015,10.395,2.8,3.45,4.05,5.7,1.0,4.0,1.0,2.8,4.7,3.4,3.34,1.615,1.0,6.5,7.5,3.1,3.575,5.5,1.75,3.379,63.0,18.0,0.286,0.97,2,179
ESCORIAL,2010,11.185,6.68,6.66,6.14,6.94,4.32,5.92,5.84,5.6,6.06,7.1,6.126,1.098,9.2,0.8,10.0,6.275,5.87,6.5,5.71,6.358,67.2,60.0,0.902,5.798,5,42
ESCORIAL,2011,9.814,4.1,6.8,3.8,4.0,1.3,5.3,5.5,6.0,6.3,6.8,4.99,1.71,6.0,4.0,10.0,5.425,4.9,5.15,4.05,5.733,84.0,60.0,0.714,4.095,1,133
ESCORIAL,2012,12.286,7.0,8.6,6.7,9.0,7.6,7.4,6.9,7.2,8.5,5.2,7.41,1.11,10.0,0.0,10.0,7.475,6.95,8.75,6.4,7.328,60.0,60.0,1.0,7.328,1,7
ESCORIAL,2013,10.678,4.4,4.3,6.6,6.3,5.9,6.7,7.4,7.0,5.2,6.6,6.04,1.07,8.0,2.0,10.0,5.7,6.8,5.75,6.25,6.905,72.0,60.0,0.833,5.754,1,52
ESCORIAL,2015,9.812,2.9,0.5,3.0,1.0,5.2,0.0,,,,5.1,2.53,2.12,2.0,5.0,7.0,1.133,3.0,1.0,5.15,3.248,67.5,31.5,0.467,1.516,1,166
SANT MIQUEL DELS SANTS,2010,11.909,6.467,6.7,7.3,8.533,6.833,6.6,6.0,4.933,6.733,4.8,6.49,1.303,9.333,0.667,10.0,6.442,6.117,7.633,5.817,6.688,64.5,60.0,0.939,6.297,3,31
SANT MIQUEL DELS SANTS,2011,10.753,4.867,4.7,5.4,5.7,4.767,6.3,4.667,5.067,6.5,5.1,5.307,1.043,7.0,3.0,10.0,5.133,5.233,6.1,4.933,6.042,82.5,54.0,0.776,4.892,3,105
SANT MIQUEL DELS SANTS,2012,11.117,5.683,4.817,5.45,5.8,5.817,5.5,4.517,6.483,5.017,5.367,5.445,0.978,8.167,1.833,10.0,5.129,5.967,5.408,5.592,5.805,70.75,60.0,0.869,5.046,6,82
SANT MIQUEL DELS SANTS,2013,10.746,3.8,4.7,5.3,6.0,6.75,3.75,4.2,5.2,3.95,5.45,4.91,1.485,6.5,3.5,10.0,4.112,5.25,4.975,6.1,5.892,83.25,60.0,0.724,4.264,2,116
SANT MIQUEL DELS SANTS,2014,11.066,4.85,5.9,5.3,7.8,5.3,5.35,6.05,5.8,6.75,5.9,5.9,1.005,9.0,1.0,10.0,5.538,5.55,7.275,5.6,6.068,66.0,60.0,0.916,5.562,2,50
SANT MIQUEL DELS SANTS,2015,10.679,6.167,3.167,3.7,7.033,5.7,5.033,4.4,4.367,5.233,5.733,5.057,1.627,7.0,2.667,9.667,4.739,4.033,6.133,5.717,5.149,64.0,45.5,0.711,3.761,3,83
FREDERIC MISTRAL-TÈCNIC EULÀLI,2010,11.432,6.353,6.342,6.195,5.821,5.368,5.695,5.832,5.753,6.561,6.016,5.981,1.178,8.158,1.789,9.947,6.055,5.974,6.158,5.692,6.321,71.368,58.184,0.844,5.444,19,60
FREDERIC MISTRAL-TÈCNIC EULÀLI,2011,11.001,4.944,6.144,5.556,5.061,5.544,6.112,5.235,4.982,5.7,5.378,5.404,1.308,7.167,2.611,9.778,5.539,5.244,5.311,5.461,5.909,76.0,53.25,0.757,4.854,18,108
FREDERIC MISTRAL-TÈCNIC EULÀLI,2012,11.631,6.45,6.442,6.042,6.825,5.367,5.867,4.642,5.808,6.533,5.525,5.95,1.251,8.333,1.667,10.0,5.85,5.925,6.679,5.446,6.283,70.375,60.0,0.874,5.554,12,60
FREDERIC MISTRAL-TÈCNIC EULÀLI,2013,11.355,4.916,5.784,5.7,6.489,4.321,5.044,4.55,4.168,5.284,3.474,4.967,1.574,6.211,3.684,9.895,5.03,4.934,5.887,3.897,5.839,84.711,54.947,0.691,4.204,19,120
FREDERIC MISTRAL-TÈCNIC EULÀLI,2014,11.336,5.468,5.314,5.545,5.9,5.777,5.029,5.053,6.065,5.971,6.121,5.527,1.228,7.545,2.0,9.545,5.159,5.686,5.8,5.791,5.83,69.205,53.932,0.798,5.019,22,74
FREDERIC MISTRAL-TÈCNIC EULÀLI,2015,11.136,5.462,4.5,4.325,5.206,4.738,4.0,2.973,3.754,4.892,4.275,4.261,1.581,4.5,4.312,8.812,4.145,3.944,4.759,4.231,4.254,62.156,31.781,0.513,2.665,16,131
SHALOM,2010,10.508,6.8,6.4,6.6,5.5,2.0,5.3,5.0,6.1,2.3,5.1,5.11,1.68,8.0,2.0,10.0,5.875,6.35,3.9,3.55,5.802,70.5,60.0,0.851,4.938,1,82
SHALOM,2011,10.026,5.3,5.1,5.0,5.0,2.0,5.3,5.9,5.0,5.0,3.5,4.71,1.13,8.0,2.0,10.0,5.4,5.0,5.0,2.75,5.485,73.5,60.0,0.816,4.478,1,124
SHALOM,2014,10.158,6.7,5.0,6.2,5.3,3.4,2.7,5.0,5.4,5.6,5.7,5.1,1.21,8.0,2.0,10.0,4.85,5.8,5.45,4.55,5.812,72.0,60.0,0.833,4.844,1,84
SHALOM,2015,11.486,6.5,8.8,6.1,7.5,5.2,5.0,7.3,5.6,5.0,5.1,6.21,1.3,10.0,0.0,10.0,6.9,5.85,6.25,5.15,6.212,60.0,60.0,1.0,6.212,1,29
INST.ERNEST LLUCH,2010,12.092,6.3,6.6,6.0,6.7,6.9,5.0,4.0,5.0,6.7,4.4,5.76,1.07,8.0,2.0,10.0,5.475,5.5,6.7,5.65,6.415,73.5,60.0,0.816,5.237,1,73
INST.ERNEST LLUCH,2012,10.961,3.8,4.45,5.9,6.8,4.7,6.0,5.3,2.75,6.45,2.55,4.87,1.965,5.0,5.0,10.0,4.888,4.325,6.625,3.625,6.184,106.5,60.0,0.59,3.683,2,158
INST.ERNEST LLUCH,2013,10.454,0.0,2.1,6.1,7.0,7.1,5.0,7.1,1.6,6.5,4.1,4.66,2.6,6.0,4.0,10.0,3.55,3.85,6.75,5.6,6.415,85.5,60.0,0.702,4.502,1,107
INST.ERNEST LLUCH,2014,11.196,4.6,3.9,5.7,5.75,8.05,2.5,3.6,3.4,5.55,6.35,4.94,1.905,7.0,3.0,10.0,3.65,4.55,5.65,7.2,5.12,78.0,45.0,0.621,3.404,2,138
INST.ERNEST LLUCH,2015,11.472,6.25,4.55,4.6,7.3,7.45,5.9,5.0,5.0,6.85,7.2,5.995,1.655,8.0,1.5,9.5,5.362,4.8,7.075,7.325,5.768,57.0,48.0,0.834,5.072,2,41
AGORA SANT CUGAT IS,2010,10.071,4.15,5.55,4.8,4.85,5.9,5.7,4.0,4.3,5.8,7.1,5.215,1.08,6.0,4.0,10.0,4.85,4.55,5.325,6.5,5.882,84.0,60.0,0.718,4.228,2,123
AGORA SANT CUGAT IS,2012,10.94,5.0,5.0,4.7,6.4,3.3,5.0,4.4,4.0,8.0,6.1,5.19,1.34,6.0,4.0,10.0,4.85,4.35,7.2,4.7,5.992,84.0,60.0,0.714,4.28,1,129
AGORA SANT CUGAT IS,2013,12.916,5.9,5.6,7.3,8.9,7.9,8.1,7.6,5.6,8.0,5.4,7.03,1.28,10.0,0.0,10.0,6.8,6.45,8.45,6.65,6.965,60.0,60.0,1.0,6.965,1,20
AGORA SANT CUGAT IS,2015,10.755,7.1,5.8,4.05,6.55,4.75,5.35,6.25,7.4,6.25,6.25,5.975,1.245,9.0,1.0,10.0,6.125,5.725,6.4,5.5,6.11,63.0,57.0,0.909,5.614,2,34
INST.SECRETARI COLOMA,2010,10.794,2.9,2.0,5.6,5.0,0.2,5.2,5.9,5.0,0.0,0.0,3.18,2.46,5.0,5.0,10.0,4.0,5.3,2.5,0.1,5.625,126.0,60.0,0.476,2.679,1,165
INST.SECRETARI COLOMA,2011,11.144,6.3,5.4,5.0,5.0,6.5,6.5,6.0,6.7,8.5,7.7,6.36,1.12,10.0,0.0,10.0,6.05,5.85,6.75,7.1,6.34,60.0,60.0,1.0,6.34,1,36
INST.SECRETARI COLOMA,2013,11.633,5.35,6.5,6.05,6.5,5.5,2.7,5.2,5.65,5.55,6.35,5.535,1.925,8.5,1.5,10.0,4.938,5.85,6.025,5.925,6.322,68.25,60.0,0.882,5.568,2,60
INST.SECRETARI COLOMA,2014,9.829,4.033,2.233,4.567,1.833,7.4,4.0,4.5,3.6,6.7,5.4,4.193,2.16,4.0,4.333,8.333,3.308,4.133,3.467,6.75,5.272,78.0,50.0,0.638,3.474,3,135
ESC.PROF.SALESIANA,2010,10.85,4.925,6.275,5.9,5.167,4.15,5.3,5.475,3.7,5.425,6.525,5.38,1.302,7.0,2.5,9.5,5.494,5.388,5.1,5.338,5.851,73.125,57.0,0.818,4.754,4,93
ESC.PROF.SALESIANA,2011,11.087,5.66,5.3,5.64,5.74,6.24,6.72,6.96,6.7,6.62,6.4,6.198,0.996,9.4,0.6,10.0,6.16,6.17,6.18,6.32,6.372,64.8,60.0,0.943,6.0,5,56
ESC.PROF.SALESIANA,2012,11.428,5.55,5.85,5.325,5.75,5.8,5.125,5.425,5.475,6.9,4.75,5.595,1.218,8.0,2.0,10.0,5.488,5.4,6.325,5.275,6.06,72.375,60.0,0.856,5.196,4,74
ESC.PROF.SALESIANA,2013,10.667,5.75,5.7,6.35,6.5,6.05,6.35,5.1,4.35,5.0,5.3,5.645,1.545,9.0,1.0,10.0,5.725,5.35,5.75,5.675,6.062,66.75,60.0,0.908,5.547,2,61
ESC.PROF.SALESIANA,2014,10.384,4.3,4.0,4.2,4.0,7.4,5.0,6.6,5.0,6.3,5.0,5.18,1.19,6.0,4.0,10.0,4.975,4.6,5.15,6.2,6.318,84.0,60.0,0.714,4.513,1,93
ESC.PROF.SALESIANA,2015,11.645,5.233,6.0,4.767,5.3,5.933,3.367,4.533,3.9,5.433,5.933,5.04,1.407,7.0,3.0,10.0,4.783,4.333,5.367,5.933,5.092,62.0,44.0,0.712,3.815,3,81
INST.MERCÈ RODOREDA,2010,9.89,4.3,4.4,5.3,6.8,6.6,5.15,5.7,3.05,6.35,7.45,5.51,1.475,7.0,3.0,10.0,4.887,4.175,6.575,7.025,6.192,84.0,60.0,0.729,4.523,2,103
INST.MERCÈ RODOREDA,2012,10.598,6.4,6.5,6.9,6.1,8.2,5.8,5.0,6.4,6.9,6.3,6.45,0.83,10.0,0.0,10.0,5.925,6.65,6.5,7.25,6.435,60.0,60.0,1.0,6.435,1,24
INST.MERCÈ RODOREDA,2013,10.596,5.0,4.2,5.0,6.2,7.0,3.2,1.0,5.6,5.0,5.4,4.76,1.68,7.0,3.0,10.0,3.35,5.3,5.6,6.2,5.76,78.0,60.0,0.769,4.431,1,108
INST.MERCÈ RODOREDA,2014,10.643,5.633,5.033,5.267,6.633,8.167,3.433,3.767,4.3,5.467,6.367,5.407,1.49,6.667,3.333,10.0,4.467,4.783,6.05,7.267,6.219,79.5,60.0,0.789,5.017,3,75
INST.MERCÈ RODOREDA,2015,10.67,6.5,2.6,3.4,3.0,4.2,0.0,,,,1.0,2.96,2.12,1.0,6.0,7.0,3.033,3.4,3.0,2.6,2.815,61.5,18.0,0.293,0.824,1,184
"MONTSERRAT, COL·LEGI",2010,11.9,8.0,7.8,7.45,7.75,7.15,7.35,8.45,7.7,7.7,7.65,7.7,0.56,10.0,0.0,10.0,7.9,7.575,7.725,7.4,7.698,60.0,60.0,1.0,7.698,2,2
"MONTSERRAT, COL·LEGI",2013,10.678,5.0,5.4,4.0,5.2,6.3,7.8,5.3,5.0,5.5,7.0,5.65,1.1,9.0,1.0,10.0,5.875,4.5,5.35,6.65,5.867,66.0,60.0,0.909,5.334,1,68
"MONTSERRAT, COL·LEGI",2015,10.05,5.4,4.35,3.8,4.15,4.3,2.55,5.15,3.15,3.65,4.85,4.135,1.145,4.5,5.5,10.0,4.362,3.475,3.9,4.575,4.18,63.0,27.0,0.444,2.237,2,146
INST.JAUME CALLÍS,2010,11.189,6.85,6.1,8.65,8.3,6.3,7.15,5.75,7.4,8.2,7.05,7.175,1.145,10.0,0.0,10.0,6.462,8.025,8.25,6.675,7.146,60.0,60.0,1.0,7.146,2,11
INST.JAUME CALLÍS,2013,10.29,5.3,5.55,5.7,6.65,7.0,6.8,3.55,6.15,5.35,6.3,5.835,1.17,7.0,3.0,10.0,5.3,5.925,6.0,6.65,6.61,80.25,60.0,0.798,5.444,2,65
INST.JAUME CALLÍS,2014,10.352,6.0,6.2,6.5,5.0,7.2,5.4,5.2,5.8,8.0,7.1,6.24,0.97,10.0,0.0,10.0,5.7,6.15,6.5,7.15,6.217,60.0,60.0,1.0,6.217,1,34
INST.JAUME CALLÍS,2015,11.174,6.35,5.5,5.15,6.2,5.45,7.0,4.05,3.25,5.3,6.15,5.215,1.54,6.0,3.0,9.0,5.425,4.2,5.475,5.8,5.158,60.75,39.75,0.658,3.88,2,80
SAGRADO CORAZÓN-EDUARDO CONDE,2010,10.706,6.267,5.8,4.5,6.2,2.2,5.2,5.867,4.667,5.3,3.0,4.9,1.55,6.667,3.333,10.0,5.783,4.583,5.75,2.6,5.937,84.0,60.0,0.75,4.505,3,105
SAGRADO CORAZÓN-EDUARDO CONDE,2011,10.142,3.467,5.6,3.4,3.167,2.333,1.0,5.433,3.3,4.433,5.733,3.787,1.98,5.0,5.0,10.0,3.875,3.35,3.8,4.033,5.805,108.0,60.0,0.584,3.395,3,148
SAGRADO CORAZÓN-EDUARDO CONDE,2012,10.41,4.6,6.0,7.2,5.0,1.7,6.0,5.1,1.2,5.2,3.3,4.53,1.92,6.0,4.0,10.0,5.425,4.2,5.1,2.5,5.805,85.5,60.0,0.702,4.074,1,136
SAGRADO CORAZÓN-EDUARDO CONDE,2013,10.27,1.96,3.08,3.74,3.84,4.56,3.975,2.5,2.025,3.8,4.34,3.396,1.946,2.2,7.2,9.4,2.845,3.07,3.82,4.45,4.371,109.2,33.3,0.302,1.682,5,175
SAGRADO CORAZÓN-EDUARDO CONDE,2015,11.55,5.375,4.675,4.075,4.975,3.375,4.45,3.2,6.3,6.267,7.1,4.672,1.655,6.0,3.0,9.0,4.425,4.35,4.85,4.462,5.016,63.0,43.5,0.7,3.678,4,91
INST.VALLDEMOSSA,2010,12.618,7.0,7.2,5.7,7.6,7.4,5.0,7.4,6.1,8.1,5.4,6.69,1.06,10.0,0.0,10.0,6.65,5.9,7.85,6.4,6.622,60.0,60.0,1.0,6.622,1,23
INST.VALLDEMOSSA,2012,11.338,5.1,3.8,4.367,4.733,2.767,4.867,3.5,5.667,6.8,4.933,4.653,1.303,6.0,4.0,10.0,4.317,5.017,5.767,3.85,6.104,90.5,60.0,0.739,4.547,3,112
INST.VALLDEMOSSA,2013,11.633,5.75,5.45,7.0,7.85,5.75,5.75,5.3,6.15,6.05,5.6,6.065,0.985,10.0,0.0,10.0,5.562,6.575,6.95,5.675,6.054,60.0,60.0,1.0,6.054,2,41
INST.VALLDEMOSSA,2014,11.124,7.0,5.0,5.0,5.6,7.9,4.3,5.0,4.3,5.7,7.7,5.75,1.33,8.0,2.0,10.0,5.325,4.65,5.65,7.8,6.04,72.0,60.0,0.833,5.033,1,73
SEK-CATALUNYA,2010,11.311,6.85,6.55,6.6,6.1,6.6,5.3,5.65,6.65,5.8,4.5,6.06,1.045,7.5,2.5,10.0,6.088,6.625,5.95,5.55,6.822,75.0,60.0,0.834,5.836,2,40
SEK-CATALUNYA,2012,11.169,4.55,2.6,4.3,3.85,6.0,4.2,3.65,4.1,6.0,3.95,4.13,1.46,3.5,5.5,9.0,3.529,4.2,4.225,4.975,4.569,75.75,33.0,0.401,2.318,2,186
SEK-CATALUNYA,2014,9.502,3.8,3.5,4.0,1.7,0.7,4.0,5.0,5.0,4.0,5.6,3.73,1.5,3.0,7.0,10.0,4.075,4.5,2.85,3.15,5.34,112.5,60.0,0.533,2.848,1,153
SEK-CATALUNYA,2015,10.245,5.85,7.65,3.7,6.35,7.4,4.6,5.55,4.7,5.9,6.55,5.825,1.45,7.5,2.5,10.0,5.912,4.2,6.125,6.975,6.132,63.0,48.0,0.754,4.683,2,54
JESUÏTES CASP-SAGRATCORDEJESÚS,2010,11.132,6.071,6.129,6.471,6.157,5.314,6.2,7.15,5.6,7.733,6.167,5.973,1.296,7.714,1.571,9.286,6.104,5.929,6.421,5.307,6.1,67.929,51.429,0.78,5.409,7,64
JESUÏTES CASP-SAGRATCORDEJESÚS,2011,10.416,4.857,4.929,4.314,5.329,3.714,5.714,4.814,4.286,6.643,5.743,5.034,1.243,6.714,3.286,10.0,5.079,4.3,5.986,4.729,5.773,82.714,60.0,0.758,4.373,7,127
JESUÏTES CASP-SAGRATCORDEJESÚS,2012,10.504,6.8,6.267,6.5,6.433,6.667,6.767,6.367,6.5,7.567,5.733,6.56,1.233,9.667,0.333,10.0,6.55,6.5,7.0,6.2,6.734,62.0,60.0,0.97,6.547,3,19
JESUÏTES CASP-SAGRATCORDEJESÚS,2013,10.871,2.871,4.157,5.271,5.7,5.214,4.6,3.64,3.15,4.283,4.129,4.237,1.51,4.429,4.714,9.143,3.525,4.3,4.964,4.671,4.791,84.0,42.429,0.528,2.942,7,164
JESUÏTES CASP-SAGRATCORDEJESÚS,2014,11.342,5.082,4.791,5.727,5.755,6.645,5.09,4.509,5.85,6.291,6.273,5.575,1.245,8.182,1.636,9.818,4.817,5.714,6.023,6.459,5.891,67.091,56.182,0.848,5.178,11,67
JESUÏTES CASP-SAGRATCORDEJESÚS,2015,11.308,6.533,5.567,5.389,7.122,6.478,5.525,5.6,4.8,6.067,5.633,5.812,1.442,7.111,2.444,9.556,5.608,5.094,6.594,6.056,5.845,61.333,46.5,0.759,4.884,9,48
IPSI(INST.PEDAG. SANT ISIDOR),2010,10.988,5.183,5.967,6.133,6.167,4.317,5.1,5.75,4.783,5.7,3.45,5.255,1.547,6.833,3.167,10.0,5.5,5.458,5.933,3.883,6.205,82.75,60.0,0.749,4.768,6,92
IPSI(INST.PEDAG. SANT ISIDOR),2011,10.73,4.917,4.933,4.25,4.583,4.233,4.15,5.7,4.48,5.72,5.44,4.682,1.61,5.667,3.667,9.333,4.822,4.308,4.967,4.442,5.258,82.25,51.0,0.628,3.732,6,144
IPSI(INST.PEDAG. SANT ISIDOR),2012,12.038,7.14,6.94,5.88,5.8,6.08,5.84,5.74,6.22,6.52,5.8,6.196,1.104,9.2,0.8,10.0,6.415,6.05,6.16,5.94,6.418,64.8,60.0,0.93,5.987,5,37
IPSI(INST.PEDAG. SANT ISIDOR),2013,11.219,4.067,4.933,5.467,6.533,6.733,4.7,5.0,5.367,4.4,6.067,5.327,1.2,7.0,3.0,10.0,4.675,5.417,5.467,6.4,5.933,79.0,60.0,0.776,4.6,3,105
IPSI(INST.PEDAG. SANT ISIDOR),2014,10.466,6.033,4.133,5.633,5.933,6.367,5.733,5.4,5.2,6.6,5.033,5.607,1.427,8.667,1.333,10.0,5.325,5.417,6.267,5.7,6.109,68.5,60.0,0.888,5.446,3,55
IPSI(INST.PEDAG. SANT ISIDOR),2015,12.311,8.34,7.78,6.4,8.56,8.04,6.36,5.94,6.2,8.06,6.84,7.252,1.246,9.6,0.4,10.0,7.105,6.3,8.31,7.44,7.221,60.0,57.6,0.96,6.993,5,11
