HSCHOOL,AC_YEAR,AC_GRADE,Linear Algebra,Calculus I,Basic Mechanics,Chemistry I,Fundamentals of Informatics,Geometry,Calculus II,Basic Thermodynamics,Chemistry II,Engineering Drawing,MEAN,STD,PASSED,FAILED,NUM_SUBJ,Maths,Physics,Chemistry,Informatics,MEAN_CRED,ENROL_ECTS,PASS_ECTS,ALPHA,RANK_MEAN,NUM_STUD,RANKING
ABAT OLIBA LORETO,2015,13.7,8.4,10.0,8.5,9.2,9.0,6.2,6.1,8.3,8.8,5.9,8.04,1.45,10.0,0.0,10.0,7.675,8.4,9.0,7.45,7.968,60.0,60.0,1.0,7.968,1,2
JOSEP TOUS,2011,10.582,6.2,6.6,3.7,5.8,8.0,6.2,7.6,6.8,7.2,7.0,6.51,1.19,9.0,1.0,10.0,6.65,5.25,6.5,7.5,6.735,66.0,60.0,0.909,6.123,1,47
JOSEP TOUS,2013,11.418,3.6,4.4,5.8,5.8,5.3,4.3,1.9,2.6,5.5,5.0,4.42,1.35,5.0,5.0,10.0,3.55,4.2,5.65,5.15,6.158,90.0,60.0,0.667,4.105,1,131
GEM,2011,10.74,6.8,7.1,7.4,9.0,9.2,8.1,7.6,7.7,10.0,7.0,7.99,1.07,10.0,0.0,10.0,7.4,7.55,9.5,8.1,7.915,60.0,60.0,1.0,7.915,1,4
GEM,2013,9.988,2.3,1.8,4.0,3.5,1.8,5.3,1.2,0.8,0.4,0.0,2.11,1.69,1.0,9.0,10.0,2.65,2.4,1.95,0.9,4.112,120.0,30.0,0.25,1.028,1,176
GEM,2015,10.696,5.0,4.7,5.0,7.0,3.1,5.0,1.0,5.6,5.8,4.4,4.66,1.63,6.0,4.0,10.0,3.925,5.3,6.4,3.75,4.995,66.0,40.5,0.614,3.065,1,119
GARBI PERE VERGES-BADALONA,2011,9.906,5.9,5.5,2.4,5.3,6.6,6.2,5.0,6.9,5.7,5.8,5.53,1.24,9.0,1.0,10.0,5.65,4.65,5.5,6.2,5.792,66.0,60.0,0.909,5.266,1,89
GARBI PERE VERGES-BADALONA,2012,11.152,7.1,7.0,4.6,3.4,6.7,3.7,2.7,6.1,5.1,5.5,5.19,1.57,6.0,4.0,10.0,5.125,5.35,4.25,6.1,6.26,84.0,60.0,0.714,4.471,1,116
GARBI PERE VERGES-BADALONA,2014,11.994,5.9,2.9,4.2,2.8,5.0,0.0,0.0,0.4,1.3,0.5,2.3,2.18,2.0,8.0,10.0,2.2,2.3,2.05,2.75,2.28,60.0,12.0,0.2,0.456,1,174
GARBI PERE VERGES-BADALONA,2015,12.024,6.7,5.6,5.9,7.5,7.5,4.1,4.3,4.2,6.1,5.9,5.78,1.27,7.0,3.0,10.0,5.175,5.05,6.8,6.7,5.775,60.0,42.0,0.7,4.043,1,75
INST.MENÉNDEZ Y PELAYO,2011,12.076,5.6,7.1,6.0,6.2,9.1,7.7,8.4,5.8,8.5,8.4,7.28,1.31,10.0,0.0,10.0,7.2,5.9,7.35,8.75,7.278,60.0,60.0,1.0,7.278,1,10
INST.MENÉNDEZ Y PELAYO,2012,11.868,5.75,5.55,5.0,4.6,5.35,2.1,3.9,4.8,6.5,3.45,4.7,1.47,5.5,4.5,10.0,4.325,4.9,5.55,4.4,5.796,88.5,60.0,0.679,3.936,2,143
INST.MENÉNDEZ Y PELAYO,2013,10.863,3.85,4.75,5.25,4.65,4.95,5.0,4.35,4.05,5.5,3.35,4.57,0.995,4.5,5.5,10.0,4.488,4.65,5.075,4.15,5.82,93.0,60.0,0.68,3.95,2,140
INST.NARCÍS MONTURIOL - BCN,2011,10.278,5.55,5.15,4.95,2.95,4.7,6.0,5.05,5.2,3.3,4.8,4.765,1.395,7.0,3.0,10.0,5.438,5.075,3.125,4.75,5.502,81.0,60.0,0.742,4.088,2,134
INST.NARCÍS MONTURIOL - BCN,2015,10.969,6.8,5.967,4.7,5.633,6.967,4.933,3.333,3.933,5.7,6.333,5.43,1.59,8.0,2.0,10.0,5.258,4.317,5.667,6.65,5.446,60.0,48.5,0.808,4.748,3,51
ESCOLA PIA DE SABADELL,2011,11.162,8.3,7.0,6.2,6.7,8.0,8.0,5.7,7.5,7.8,9.0,7.42,1.01,10.0,0.0,10.0,7.25,6.85,7.25,8.5,7.45,60.0,60.0,1.0,7.45,1,8
ESCOLA PIA DE SABADELL,2014,10.247,6.0,5.8,5.75,4.4,6.15,6.05,3.0,2.9,2.75,4.15,4.695,1.585,7.0,3.0,10.0,5.212,4.325,3.575,5.15,4.967,71.25,45.0,0.682,3.758,2,122
ESCOLA PIA DE CALELLA,2011,10.859,4.75,5.05,5.4,5.3,6.3,5.75,5.55,4.35,6.35,6.0,5.48,1.075,7.5,2.5,10.0,5.275,4.875,5.825,6.15,5.981,81.0,60.0,0.794,4.798,2,110
SANT MARC - SARRIÀ,2011,12.672,8.1,8.7,8.4,9.0,9.3,8.1,9.2,8.4,7.7,8.7,8.56,0.52,10.0,0.0,10.0,8.525,8.4,8.35,9.0,8.585,60.0,60.0,1.0,8.585,1,2
SANT MARC - SARRIÀ,2012,10.068,7.9,7.6,6.4,6.3,6.1,0.6,0.0,6.4,0.4,7.3,4.9,3.21,7.0,3.0,10.0,4.025,6.4,3.35,6.7,6.507,99.0,60.0,0.606,3.944,1,141
INST.EMPERADOR CARLES,2011,11.106,6.75,7.0,5.35,5.25,5.85,6.65,7.1,5.9,7.55,7.45,6.485,0.94,8.5,1.5,10.0,6.875,5.625,6.4,6.65,7.018,69.0,60.0,0.885,6.268,2,38
INST.EMPERADOR CARLES,2012,10.534,1.0,3.3,2.4,2.0,3.1,,,,,,2.36,0.92,0.0,5.0,5.0,2.15,2.4,2.0,3.1,0.31,60.0,0.0,0.0,0.0,1,200
INST.EMPERADOR CARLES,2015,12.294,7.4,7.1,5.8,9.4,9.0,5.2,5.0,6.0,8.5,6.0,6.94,1.59,10.0,0.0,10.0,6.175,5.9,8.95,7.5,6.878,60.0,60.0,1.0,6.878,1,14
"LA VALL, COL·LEGI",2011,12.188,5.8,7.1,5.5,6.0,0.0,5.1,6.0,5.0,6.9,5.6,5.3,1.98,9.0,1.0,10.0,6.0,5.25,6.45,2.8,5.797,66.0,60.0,0.909,5.27,1,88
"LA VALL, COL·LEGI",2012,11.574,5.1,4.875,5.15,4.975,3.9,4.825,4.525,4.375,4.925,4.425,4.708,1.258,5.75,4.25,10.0,4.831,4.762,4.95,4.162,5.924,85.875,58.5,0.714,4.243,4,131
"LA VALL, COL·LEGI",2013,11.67,4.675,5.35,5.5,5.925,4.8,5.0,3.35,3.825,6.4,5.8,5.062,1.222,6.25,3.75,10.0,4.594,4.663,6.162,5.3,6.166,87.75,60.0,0.76,4.768,4,97
"LA VALL, COL·LEGI",2014,11.489,4.94,4.84,4.54,6.22,5.48,3.575,4.075,4.45,5.66,4.94,4.856,1.306,5.8,3.6,9.4,4.248,4.51,5.94,5.21,4.848,66.0,43.2,0.645,3.537,5,133
"LA VALL, COL·LEGI",2015,11.378,5.533,3.0,3.667,4.167,2.6,2.85,4.0,3.2,5.4,5.45,3.623,1.58,2.667,5.0,7.667,3.883,3.217,3.983,3.267,3.179,54.5,20.0,0.338,1.37,3,169
LA MERCED - BARCELONA,2011,12.287,7.1,8.15,6.85,6.2,7.95,6.9,7.3,6.45,7.4,7.8,7.21,0.695,10.0,0.0,10.0,7.363,6.65,6.8,7.875,7.22,60.0,60.0,1.0,7.22,2,11
