HSCHOOL,AC_GRADE,Linear Algebra,Calculus I,Basic Mechanics,Chemistry I,Fundamentals of Informatics,Geometry,Calculus II,Basic Thermodynamics,Chemistry II,Engineering Drawing,MEAN,STD,PASSED,FAILED,NUM_SUBJ,Maths,Physics,Chemistry,Informatics,MEAN_CRED,ENROL_ECTS,PASS_ECTS,ALPHA,RANK_MEAN,NUM_STUD,RANKING
DAINA ISARD,11.138,6.062,4.587,4.662,7.175,6.663,6.1,5.6,4.875,6.613,4.6,5.658,1.668,6.625,3.125,9.75,5.41,4.769,6.894,5.631,6.552,78.75,57.0,0.759,5.138,1.25,92.5
MESTRAL - JORBA,11.354,6.512,5.9,5.775,5.95,6.575,6.3,4.712,5.188,5.012,5.475,5.74,1.094,8.5,1.5,10.0,5.856,5.481,5.481,6.025,6.016,65.812,56.625,0.867,5.251,1.25,64.25
INST.ABAT OLIBA,10.868,4.863,4.325,5.175,6.45,6.638,4.5,4.675,3.675,5.125,5.15,4.905,1.589,5.75,3.625,9.375,4.266,4.356,5.725,5.912,5.476,71.438,48.0,0.669,3.951,1.25,107.5
SANTA TERESA DE LISIEUX,10.628,4.625,4.812,4.35,4.888,3.388,4.225,5.425,5.225,5.975,6.225,4.721,1.295,5.0,4.375,9.375,4.669,4.644,5.188,4.438,5.874,90.0,53.25,0.676,4.161,1.25,103.75
INST.M MIQUEL BIADA,10.665,5.425,4.338,4.763,5.475,4.988,4.633,5.85,3.25,6.883,4.35,4.789,1.723,5.875,3.375,9.25,4.906,4.006,5.706,4.669,5.29,73.5,49.5,0.686,4.034,1.25,102.75
INST.JULIO ANTONIO,10.503,4.837,4.925,4.925,6.262,5.862,5.175,4.112,4.212,5.9,3.225,4.944,1.5,6.375,3.625,10.0,4.762,4.569,6.081,4.544,5.693,83.812,48.562,0.655,3.921,1.25,115.0
PUIGCERVER,10.963,4.362,4.475,4.25,5.6,5.338,4.133,4.567,4.567,6.45,6.217,4.764,1.35,5.0,3.625,8.625,4.104,4.4,5.706,5.462,4.364,67.5,37.312,0.544,3.338,1.25,115.75
ESCOLA PIA DE CALDES DE MONTB.,11.236,5.75,5.475,5.262,6.738,6.275,4.6,4.5,4.6,5.525,5.587,5.431,1.306,6.625,3.375,10.0,5.081,4.931,6.131,5.931,6.089,87.75,55.5,0.712,4.514,1.25,89.5
VEDRUNA-GRÀCIA,10.562,4.64,4.66,5.22,5.59,3.8,5.92,5.26,5.38,5.06,5.78,5.131,1.417,6.6,3.4,10.0,5.12,5.3,5.325,4.79,6.006,84.6,60.0,0.734,4.427,1.2,113.6
INST.SAMUEL GILI I GAYA,10.943,4.12,5.24,4.63,5.56,3.45,5.34,5.01,4.0,6.11,4.67,4.813,1.434,6.4,3.6,10.0,4.928,4.315,5.835,4.06,5.908,84.3,60.0,0.758,4.486,1.2,103.8
PROA,10.847,4.783,4.467,4.417,5.0,4.042,6.15,5.467,5.8,5.333,5.867,4.452,1.182,4.333,3.167,7.5,4.581,4.4,4.608,4.087,3.756,63.75,34.0,0.519,2.926,1.167,124.0
INST.CASTELL DEL QUER,12.802,6.3,7.6,7.9,8.8,10.0,7.2,5.1,5.2,5.0,7.8,7.09,1.68,10.0,0.0,10.0,6.55,6.55,6.9,8.9,7.16,60.0,60.0,1.0,7.16,1.0,16.0
INST.SÒL DE RIU,10.364,2.5,3.3,5.9,3.1,5.0,2.1,3.9,1.5,3.0,6.4,3.67,1.62,3.0,7.0,10.0,2.95,3.7,3.05,5.7,4.982,118.5,42.0,0.354,1.766,1.0,174.0
INST.ESTELA IBÈRICA,11.144,6.15,4.65,4.5,5.8,5.4,3.95,3.25,2.75,5.7,3.4,4.555,1.42,5.0,5.0,10.0,4.5,3.625,5.75,4.4,4.962,72.75,41.25,0.538,2.824,1.0,147.5
INST.LA SERRA,11.416,5.2,6.7,8.0,8.1,7.4,7.0,5.3,5.5,6.6,6.0,6.58,1.07,10.0,0.0,10.0,6.05,6.75,7.35,6.7,6.565,60.0,60.0,1.0,6.565,1.0,32.0
INST.PRÍNCEP DE VIANA,11.468,5.8,5.7,6.5,8.8,7.9,5.4,4.7,4.0,4.3,6.0,5.91,1.52,7.0,3.0,10.0,5.4,5.25,6.55,6.95,6.488,76.5,60.0,0.784,5.088,1.0,80.0
INST.MONTSORIU,10.962,3.3,4.4,5.0,6.0,6.5,6.1,4.2,5.0,3.4,6.0,4.99,1.15,6.0,4.0,10.0,4.5,5.0,4.7,6.25,5.835,82.5,60.0,0.727,4.244,1.0,117.0
MONTCAU-LA MOLA,12.864,7.1,8.7,7.9,6.7,6.5,8.3,6.5,6.6,6.4,7.3,7.2,0.83,10.0,0.0,10.0,7.65,7.25,6.55,6.9,7.222,60.0,60.0,1.0,7.222,1.0,10.0
INST.JOAQUIM BLUME,10.597,4.45,4.25,3.95,6.4,5.5,5.85,5.4,5.8,5.85,6.95,5.44,1.15,7.5,2.5,10.0,4.988,4.875,6.125,6.225,6.308,75.0,60.0,0.812,5.122,1.0,73.5
INST.CASSÀ DE LA SELVA,11.109,4.567,5.067,4.767,5.233,3.5,5.75,3.85,5.8,5.9,5.8,4.59,1.537,5.0,3.0,8.0,4.283,5.0,5.233,3.267,4.426,65.5,37.5,0.555,3.292,1.0,104.333
INST.LES PLANES - STA.BÀRBARA,11.272,6.4,7.4,6.5,6.6,8.5,8.0,5.0,6.2,5.0,7.9,6.75,1.2,10.0,0.0,10.0,6.7,6.35,5.8,8.2,6.823,60.0,60.0,1.0,6.823,1.0,25.0
INST.ESCOLA INDUSTRIAL,11.636,7.65,8.6,7.1,7.05,8.45,8.35,7.0,6.65,6.6,8.2,7.565,1.145,10.0,0.0,10.0,7.9,6.875,6.825,8.325,7.605,60.0,60.0,1.0,7.605,1.0,6.5
INST.DANIEL BLANXART I PEDRALS,11.212,3.7,3.5,6.6,7.3,6.1,3.9,4.1,3.0,5.0,7.3,5.05,1.64,5.0,5.0,10.0,3.8,4.8,6.15,6.7,6.217,90.0,60.0,0.667,4.145,1.0,127.0
INST.ANTONI CUMELLA,10.434,2.2,5.6,3.9,5.0,6.4,7.2,6.2,5.0,5.2,3.8,5.05,1.46,7.0,3.0,10.0,5.3,4.45,5.1,5.1,6.175,79.5,60.0,0.755,4.66,1.0,106.0
INST.M E.MUNICIPAL DEL TREBALL,9.929,4.7,3.95,5.55,6.1,7.85,4.2,3.65,3.05,4.65,5.95,4.965,1.68,6.5,3.5,10.0,4.125,4.3,5.375,6.9,6.063,89.25,60.0,0.698,4.243,1.0,109.5
TURBULA,10.904,5.4,2.85,7.3,3.2,6.7,3.6,6.5,5.1,5.0,6.9,2.93,0.56,4.5,1.5,6.0,2.65,6.2,2.85,6.8,3.144,39.0,30.0,0.454,2.858,1.0,127.5
MARE DE DEU DE L'ASSUMPCIO,10.21,6.3,5.1,5.7,5.1,6.0,5.0,3.6,5.7,5.4,5.5,5.34,0.74,9.0,1.0,10.0,5.0,5.7,5.25,5.75,5.552,66.0,60.0,0.909,5.048,1.0,80.0
SANTISSIMA TRINITAT,11.462,2.5,2.5,5.0,6.0,4.7,3.7,1.9,3.5,6.0,4.6,4.04,1.46,3.0,7.0,10.0,2.65,4.25,6.0,4.65,5.94,115.5,60.0,0.519,3.086,1.0,162.0
INST.VICENÇ PLANTADA,10.166,5.0,5.8,7.0,7.8,6.0,4.4,5.8,8.1,5.5,3.0,5.84,1.54,8.0,2.0,10.0,5.25,7.55,6.65,4.5,6.583,73.5,60.0,0.816,5.373,1.0,85.0
INST.VALLÈS,9.994,5.0,6.1,5.5,6.0,6.6,4.5,4.6,5.8,2.8,5.0,5.19,1.08,7.0,3.0,10.0,5.05,5.65,4.4,5.8,5.748,76.5,60.0,0.784,4.508,1.0,106.0
INST.JAUME HUGUET,12.178,6.8,5.6,7.3,8.2,8.3,7.8,5.5,5.6,6.4,5.8,6.73,1.11,10.0,0.0,10.0,6.425,6.45,7.3,7.05,6.715,60.0,60.0,1.0,6.715,1.0,29.0
INST.LA ROCA DEL VALLÈS,12.526,8.6,4.4,4.6,7.7,5.5,4.0,5.3,7.0,7.1,6.0,6.02,1.53,7.0,3.0,10.0,5.575,5.8,7.4,5.75,5.992,60.0,42.0,0.7,4.195,1.0,69.0
INST.CAMÍ DE MAR,10.536,6.3,5.2,6.0,6.9,6.7,6.0,5.4,5.0,5.0,8.1,6.06,0.99,10.0,0.0,10.0,5.725,5.5,5.95,7.4,6.137,60.0,60.0,1.0,6.137,1.0,40.0
INST.M LA VALL DE TENES,11.479,4.35,4.65,5.2,6.4,5.65,4.6,2.5,5.1,5.0,5.35,4.85,1.935,4.5,4.0,8.5,3.838,5.225,6.4,5.5,5.041,70.5,45.75,0.635,3.255,1.0,125.0
INST.RAFAEL DE CAMPALANS,10.896,3.5,0.8,3.9,3.0,5.5,,,,,0.0,2.78,2.04,1.0,5.0,6.0,2.15,3.9,3.0,2.75,1.29,49.5,6.0,0.121,0.156,1.0,176.0
INST.MONTSACOPA,10.006,5.7,2.1,3.8,7.0,3.4,1.7,,,6.1,5.5,4.41,1.95,4.0,4.0,8.0,3.167,3.8,6.55,4.45,4.195,60.0,36.0,0.6,2.517,1.0,137.0
SANT NICOLAU,11.254,6.4,4.5,4.4,6.1,7.2,2.8,,,0.7,2.2,4.29,2.26,3.0,5.0,8.0,4.567,4.4,3.4,4.7,4.058,60.0,30.0,0.5,2.029,1.0,153.0
INST.CAN PEIXAUET,8.522,6.0,2.6,4.6,7.0,6.9,0.0,1.9,0.9,1.4,4.4,3.57,2.56,3.0,7.0,10.0,2.625,2.75,4.2,5.65,3.645,60.0,18.0,0.3,1.094,1.0,172.0
LES ALZINES,12.516,6.1,5.0,6.0,7.7,1.6,5.0,5.0,5.7,5.2,5.0,5.23,1.53,9.0,1.0,10.0,5.275,5.85,6.45,3.3,5.615,66.0,60.0,0.909,5.105,1.0,38.0
INST.GALLECS,10.154,0.0,5.4,2.2,0.2,7.0,,2.3,,,1.8,2.7,2.6,2.0,5.0,7.0,2.567,2.2,0.2,4.4,3.165,55.5,24.0,0.432,1.369,1.0,170.0
FEDAC-LLEIDA,13.24,9.4,7.1,7.1,9.1,9.4,6.6,5.7,5.0,8.0,6.2,7.36,1.57,10.0,0.0,10.0,7.2,6.05,8.55,7.8,7.315,60.0,60.0,1.0,7.315,1.0,7.0
INST.MIG-MON,10.334,7.4,3.4,4.4,5.4,6.2,2.6,3.8,3.1,5.0,5.0,4.63,1.48,5.0,5.0,10.0,4.3,3.75,5.2,5.6,4.89,66.0,36.0,0.545,2.667,1.0,130.0
ÀGORA MASIA BACH. C.E.,9.66,5.8,5.2,4.3,5.0,6.8,5.3,2.5,3.5,3.1,5.1,4.66,1.31,6.0,4.0,10.0,4.7,3.9,4.05,5.95,4.71,60.0,37.5,0.625,2.944,1.0,123.0
VALLDAURA,8.754,4.4,2.0,5.3,5.1,6.3,1.3,,,0.9,5.8,3.89,2.15,4.0,4.0,8.0,2.567,5.3,3.0,6.05,3.232,48.0,25.5,0.531,1.717,1.0,168.0
LA SALLE-MOLLERUSSA,10.224,5.0,5.0,8.0,7.1,7.7,5.0,7.1,8.0,6.2,8.3,6.74,1.34,10.0,0.0,10.0,5.525,8.0,6.65,8.0,6.792,60.0,60.0,1.0,6.792,1.0,26.0
INST.EL CALAMOT,12.528,7.7,6.1,7.3,8.5,9.0,6.1,5.4,8.3,5.2,6.0,6.96,1.37,10.0,0.0,10.0,6.325,7.8,6.85,7.5,6.98,60.0,60.0,1.0,6.98,1.0,12.0
"PIVE, COL.LEGI",10.22,5.6,4.7,4.0,5.6,0.1,5.0,1.5,1.2,5.3,1.1,3.41,2.17,4.0,6.0,10.0,4.2,2.6,5.45,0.6,3.375,66.0,22.5,0.341,1.151,1.0,176.0
INST.ERNEST LLUCH I MARTÍN,10.02,3.4,1.6,1.6,5.0,0.8,1.5,0.0,1.0,4.0,5.9,2.48,1.97,2.0,8.0,10.0,1.625,1.3,4.5,3.35,2.968,66.0,19.5,0.295,0.877,1.0,183.0
INST.CAP NORFEU,10.628,5.5,3.9,3.3,3.2,2.2,4.2,1.8,1.5,6.0,5.6,3.72,1.62,3.0,7.0,10.0,3.85,2.4,4.6,3.9,4.47,72.0,30.0,0.417,1.863,1.0,155.0
"BETLEM, ESCOLES",9.696,1.6,2.5,4.5,5.1,3.9,3.3,,2.0,3.5,1.2,3.07,1.33,1.0,8.0,9.0,2.467,3.25,4.3,2.55,3.193,66.0,12.0,0.182,0.58,1.0,190.0
"SANT ANTONI DE PADUA, COL.LEGI",13.356,7.0,8.5,7.0,8.7,8.6,7.9,6.3,5.0,6.6,8.0,7.36,1.2,10.0,0.0,10.0,7.425,6.0,7.65,8.3,7.395,60.0,60.0,1.0,7.395,1.0,5.0
INST.TARADELL,11.318,7.0,3.9,3.7,6.4,5.6,2.1,5.0,2.9,5.8,8.2,5.06,1.91,6.0,4.0,10.0,4.5,3.3,6.1,6.9,5.55,72.0,48.0,0.667,3.7,1.0,88.0
INST.JOSEP PUIG I CADAFALCH,12.428,5.0,5.0,5.1,5.0,0.9,0.0,5.4,5.4,5.8,2.8,4.04,2.07,7.0,3.0,10.0,3.85,5.25,5.4,1.85,3.965,60.0,40.5,0.675,2.676,1.0,167.0
INST.MEDITERRÀNIA-CASTELLDEFEL,12.578,7.3,5.0,7.3,7.7,7.5,7.0,6.1,6.0,5.0,9.2,6.81,1.3,10.0,0.0,10.0,6.35,6.65,6.35,8.35,6.915,60.0,60.0,1.0,6.915,1.0,13.0
ANNA RAVELL,10.038,6.4,5.2,2.7,5.3,6.5,0.0,0.0,0.4,4.5,1.1,3.21,2.67,4.0,6.0,10.0,2.9,1.55,4.9,3.8,3.125,60.0,24.0,0.4,1.25,1.0,173.0
INST.CANIGÓ,10.038,6.7,5.7,3.1,7.0,3.8,3.3,5.8,6.1,5.0,5.1,5.16,1.37,7.0,3.0,10.0,5.375,4.6,6.0,4.45,5.942,72.0,54.0,0.75,4.457,1.0,60.0
INST.PUIG  CASTELLAR,9.746,5.2,5.3,2.8,6.5,2.8,4.0,4.0,3.7,3.2,5.0,4.25,1.22,4.0,6.0,10.0,4.625,3.25,4.85,3.9,4.295,60.0,25.5,0.425,1.825,1.0,156.0
INST.JOANOT MARTORELL,11.25,6.0,3.6,4.4,6.3,8.0,3.4,5.2,3.2,5.0,5.6,5.07,1.5,6.0,4.0,10.0,4.55,3.8,5.65,6.8,5.085,60.0,36.0,0.6,3.051,1.0,120.0
INST.PUIG DE LA CREU,11.702,10.0,9.8,10.0,9.5,7.7,5.5,10.0,5.0,7.1,7.4,8.2,1.93,10.0,0.0,10.0,8.825,7.5,8.3,7.55,8.208,60.0,60.0,1.0,8.208,1.0,4.0
INST.ITACA,10.469,4.15,2.95,4.55,4.8,5.1,3.65,5.0,3.75,6.3,5.05,4.42,1.235,5.5,4.0,9.5,3.554,4.15,5.55,5.075,4.454,60.0,35.25,0.588,3.264,1.0,115.5
SANT JOSEP - REUS,11.964,5.9,2.4,3.0,3.0,5.2,1.1,0.6,1.7,3.2,3.9,3.0,1.68,2.0,8.0,10.0,2.5,2.35,3.1,4.55,5.905,126.0,60.0,0.476,2.812,1.0,155.0
INST.HUG ROGER III,12.006,4.5,5.6,5.9,8.0,6.5,5.2,5.2,2.7,5.1,8.4,5.71,1.65,8.0,2.0,10.0,5.125,4.3,6.55,7.45,6.142,72.0,60.0,0.833,5.119,1.0,77.0
INST.PERE FONTDEVILA,10.642,2.8,5.0,3.7,5.0,2.4,5.6,3.5,5.0,6.5,5.8,4.53,1.36,6.0,4.0,10.0,4.225,4.35,5.75,4.1,5.602,84.0,60.0,0.714,4.002,1.0,111.0
INST.FORAT DEL VENT,11.586,6.0,6.4,5.6,7.1,5.0,4.6,4.5,4.5,5.4,5.8,5.49,0.87,7.0,3.0,10.0,5.375,5.05,6.25,5.4,6.01,78.0,60.0,0.769,4.623,1.0,104.0
SANT PAU APÒSTOL,12.703,6.15,7.6,6.3,7.1,6.65,6.7,4.0,5.2,6.0,7.45,6.315,1.705,8.5,1.5,10.0,6.112,5.75,6.55,7.05,6.701,69.0,60.0,0.885,5.94,1.0,48.5
INST.JOAQUIM MIR,10.425,5.65,4.2,5.7,7.2,5.1,6.8,5.15,4.7,6.55,6.7,5.775,1.355,9.0,1.0,10.0,5.45,5.2,6.875,5.9,5.778,60.0,54.0,0.9,5.21,1.0,53.5
INST.INFANTA ISABEL D'ARAGÓ,11.246,7.5,5.9,6.9,6.5,5.0,6.5,5.0,6.6,5.0,6.5,6.14,0.88,10.0,0.0,10.0,6.225,6.75,5.75,5.75,6.177,60.0,60.0,1.0,6.177,1.0,37.0
INST.LA BISBAL,12.238,7.2,7.5,6.1,6.5,7.8,6.6,6.1,5.0,5.3,5.7,6.38,0.92,10.0,0.0,10.0,6.85,5.55,5.9,6.75,6.39,60.0,60.0,1.0,6.39,1.0,35.0
INST.GELIDA,11.304,2.5,2.2,4.1,5.3,0.6,2.9,2.4,1.4,5.9,2.1,2.94,1.68,2.0,8.0,10.0,2.5,2.75,5.6,1.35,5.818,121.5,60.0,0.494,2.873,1.0,165.0
INST.ELS PLANELLS,11.236,4.5,4.3,4.9,4.9,5.6,7.6,5.0,8.0,8.8,8.4,4.985,1.18,5.0,2.5,7.5,4.138,5.4,5.5,5.75,3.775,60.0,30.0,0.5,3.63,1.0,98.0
INST.JOAN COROMINES-BARCELONA,9.976,1.9,3.0,2.7,2.2,1.1,,,,,0.3,1.87,1.01,0.0,6.0,6.0,2.45,2.7,2.2,0.7,1.907,67.5,0.0,0.0,0.0,1.0,185.0
INST.PONT DE SUERT,10.631,5.45,5.55,4.6,6.6,7.05,5.65,5.85,6.2,4.35,6.45,5.775,1.315,8.0,2.0,10.0,5.625,5.4,5.475,6.75,6.044,65.25,54.0,0.826,4.998,1.0,61.5
INST.DR. PUIGVERT,11.208,5.9,5.0,5.9,7.5,4.6,0.8,3.4,5.0,6.6,6.1,5.08,1.88,7.0,3.0,10.0,3.775,5.45,7.05,5.35,6.158,78.0,60.0,0.769,4.737,1.0,99.0
INST.JOAQUIM RUBIO I ORS-S.BOI,10.764,5.7,5.3,6.6,6.8,6.5,5.6,5.0,3.7,3.9,5.7,5.48,1.06,8.0,2.0,10.0,5.4,5.15,5.35,6.1,6.158,70.5,60.0,0.851,5.24,1.0,71.0
INST.JOSEP LLADONOSA,11.706,5.3,5.2,6.3,8.4,8.4,5.5,5.5,5.6,5.0,6.1,6.13,1.26,10.0,0.0,10.0,5.375,5.95,6.7,7.25,6.158,60.0,60.0,1.0,6.158,1.0,39.0
INST.SANTA COLOMA DE FARNERS,9.758,1.5,3.2,5.2,5.7,3.1,0.0,1.1,1.8,3.5,0.1,2.52,1.97,2.0,8.0,10.0,1.45,3.5,4.6,1.6,5.68,139.5,60.0,0.43,2.443,1.0,170.0
VEDRUNA-TÀRREGA,10.996,4.05,3.95,4.45,5.7,2.95,2.8,0.0,4.0,5.4,7.6,3.9,1.655,2.5,5.0,7.5,3.112,4.075,5.1,4.1,3.562,63.0,21.0,0.322,1.458,1.0,155.0
INST.ALT BERGUEDÀ,11.064,6.7,3.7,4.3,6.2,6.4,3.0,0.0,1.7,5.0,5.1,4.21,2.16,5.0,5.0,10.0,3.35,3.0,5.6,5.75,5.873,90.0,60.0,0.667,3.915,1.0,117.0
INST.SANTA EULÀLIA-HOSPITALET,9.594,7.5,3.2,4.5,3.4,3.5,1.8,2.4,1.5,0.5,5.2,3.35,2.02,2.0,8.0,10.0,3.725,3.0,1.95,4.35,5.802,124.5,60.0,0.482,2.796,1.0,156.0
"LA PRESENTACIO,COL·LEGI-ARENYS",10.716,5.2,2.3,5.0,6.8,3.1,5.0,5.0,5.0,7.1,0.2,4.47,2.08,7.0,3.0,10.0,4.375,5.0,6.95,1.65,5.668,79.5,60.0,0.755,4.277,1.0,104.0
INST.THALASSA,10.873,6.0,4.3,4.1,1.8,4.7,5.45,5.1,5.0,5.3,5.7,4.745,1.58,7.5,2.5,10.0,5.212,4.55,3.55,5.2,5.66,75.0,60.0,0.812,4.576,1.0,75.5
INST.MONTSERRAT ROIG-S.ANDREU,11.42,5.0,8.1,7.6,9.8,8.4,7.4,7.0,8.0,8.8,9.0,7.91,1.31,10.0,0.0,10.0,6.875,7.8,9.3,8.7,7.915,60.0,60.0,1.0,7.915,1.0,7.0
INST.VESCOMTAT DE CABRERA,11.722,8.1,6.9,7.7,8.4,7.0,9.2,7.1,9.4,6.2,9.7,7.97,1.19,10.0,0.0,10.0,7.825,8.55,7.3,8.35,8.057,60.0,60.0,1.0,8.057,1.0,5.0
FEDAC-AMILCAR,12.942,8.2,6.4,7.9,9.2,7.2,8.1,6.9,8.4,8.4,9.4,8.01,0.95,10.0,0.0,10.0,7.4,8.15,8.8,8.3,8.035,60.0,60.0,1.0,8.035,1.0,6.0
INST.LLOBREGAT-SALLENT,9.048,5.1,5.0,6.3,6.7,5.4,3.8,5.4,4.8,5.3,5.7,5.35,0.8,8.0,2.0,10.0,4.825,5.55,6.0,5.55,5.59,78.0,60.0,0.769,4.3,1.0,113.0
SANT JOSEP - TERESIANES,10.024,5.2,3.5,5.0,5.2,8.0,2.0,2.0,4.3,1.6,4.3,4.11,1.94,4.0,6.0,10.0,3.175,4.65,3.4,6.15,5.222,108.0,42.0,0.389,2.031,1.0,162.0
INST.JAUME MIMÓ,11.644,6.8,6.0,6.4,6.0,9.6,5.6,5.0,5.1,6.1,8.8,6.54,1.52,10.0,0.0,10.0,5.85,5.75,6.05,9.2,6.608,60.0,60.0,1.0,6.608,1.0,26.0
INST.JAUME SALVADOR I PEDROL,11.282,5.5,4.8,4.5,5.95,7.6,4.7,5.6,5.0,6.05,8.5,5.835,1.49,8.0,1.5,9.5,5.15,4.3,6.0,8.05,5.767,60.0,51.0,0.85,4.998,1.0,61.5
INST.BRUGUERS,12.022,3.3,4.1,5.5,4.5,9.3,6.3,0.0,1.8,2.2,6.1,4.31,2.66,4.0,6.0,10.0,3.425,3.65,3.35,7.7,4.958,72.0,37.5,0.521,2.582,1.0,182.0
"JAUME VILADOMS, CE",9.882,2.7,2.1,3.1,2.5,3.0,,,0.0,,,2.23,1.15,0.0,6.0,6.0,2.4,1.55,2.5,3.0,0.36,66.0,0.0,0.0,0.0,1.0,171.0
INST.PEDRAFORCA,10.536,5.7,7.0,4.6,5.0,3.4,5.1,6.2,5.0,5.6,6.8,5.44,1.07,8.0,2.0,10.0,6.0,4.8,5.3,5.1,6.2,72.0,60.0,0.833,5.167,1.0,76.0
INST.GORGS,11.543,6.4,5.35,5.05,7.0,4.9,4.9,5.45,6.35,6.2,5.15,5.675,1.05,8.5,1.5,10.0,5.525,5.7,6.6,5.025,6.208,72.75,60.0,0.851,5.293,1.0,71.0
"PEREZ IBORRA, ESCOLES",12.706,7.4,6.567,5.9,6.9,7.833,6.767,7.033,6.9,6.433,7.4,6.913,1.143,10.0,0.0,10.0,6.942,6.4,6.667,7.617,6.937,60.0,60.0,1.0,6.937,1.0,16.667
INST.LA POBLA DE SEGUR,12.042,7.7,7.6,6.5,7.0,5.7,5.3,6.8,8.0,8.5,8.0,7.11,1.05,10.0,0.0,10.0,6.85,7.25,7.75,6.85,7.097,60.0,60.0,1.0,7.097,1.0,12.0
MADRES CONCEP.DE LA ENSEñANZA,11.157,4.55,4.975,5.275,6.05,4.6,4.9,5.167,4.667,6.767,4.35,4.873,1.52,5.75,3.25,9.0,4.619,4.775,6.288,4.475,5.51,76.875,51.0,0.673,4.008,1.0,110.0
INST.LLUIS DOMENECH I M -CANET,11.506,8.0,8.5,7.2,8.2,8.5,7.0,8.6,8.4,8.9,9.6,8.29,0.76,10.0,0.0,10.0,8.025,7.8,8.55,9.05,8.308,60.0,60.0,1.0,8.308,1.0,1.0
INST.TERRA ALTA,11.061,6.35,6.15,5.1,6.4,4.85,5.65,3.4,4.6,6.7,4.75,5.395,1.345,7.5,2.5,10.0,5.388,4.85,6.55,4.8,6.149,75.75,60.0,0.828,5.23,1.0,84.0
INST.VALL D'HEBRON,11.224,7.8,7.5,7.3,7.0,8.4,5.7,8.1,7.9,7.2,5.1,7.2,1.05,10.0,0.0,10.0,7.275,7.6,7.1,6.75,7.148,60.0,60.0,1.0,7.148,1.0,10.0
INST.BISBE SIVILLA,11.003,6.567,5.3,5.267,4.1,2.8,6.8,5.65,2.55,3.6,6.633,4.933,2.293,6.667,2.333,9.0,6.053,4.317,3.25,4.717,5.708,68.0,52.5,0.785,4.588,1.0,92.333
INST.LLUíS DOMENECH I MONTANER,11.598,7.033,7.067,6.8,7.4,7.167,6.3,5.967,5.933,7.1,6.967,6.773,1.097,10.0,0.0,10.0,6.592,6.367,7.25,7.067,6.77,60.0,60.0,1.0,6.77,1.0,18.0
LA SALLE MONTCADA,10.131,7.2,3.8,3.8,6.0,5.0,4.55,2.85,1.1,5.65,5.6,4.555,2.125,5.0,5.0,10.0,4.6,2.45,5.825,5.3,5.922,90.75,51.0,0.572,3.428,1.0,134.0
ESCOLA AUGUSTA,10.846,5.6,5.1,5.7,6.3,2.5,5.8,4.8,5.1,5.6,2.4,4.89,1.35,7.0,3.0,10.0,5.325,5.4,5.95,2.45,5.647,79.5,60.0,0.755,4.262,1.0,120.0
MARE DE DÉU DELS ÀNGELS,10.612,5.75,6.65,5.25,6.65,4.95,4.35,5.7,7.1,5.7,5.15,5.725,1.185,8.0,2.0,10.0,5.613,6.175,6.175,5.05,5.922,75.0,60.0,0.834,4.914,1.0,89.5
"HAMELIN, INTERNACIONAL LAIE",10.427,5.233,3.5,3.733,3.967,3.633,5.5,5.05,3.9,3.567,5.633,4.363,1.593,4.667,4.667,9.333,4.781,3.533,3.767,4.633,5.069,78.0,48.5,0.62,3.207,1.0,133.333
MARE DÉU DEL CARME-TARRAGONA,11.552,6.4,4.833,4.733,7.1,4.833,4.933,3.467,4.667,4.633,6.167,5.177,1.373,7.0,3.0,10.0,4.908,4.7,5.867,5.5,5.625,68.0,50.5,0.752,4.362,1.0,97.333
INST.LA FERRERIA,11.274,0.0,1.4,1.5,0.0,2.7,,,,,,1.12,1.14,0.0,5.0,5.0,0.7,1.5,0.0,2.7,0.56,30.0,0.0,0.0,0.0,1.0,171.0
INST.SERRALLARGA,10.769,5.85,5.6,4.9,4.15,7.85,5.5,5.45,2.45,5.25,5.4,5.24,1.535,7.5,2.5,10.0,5.6,3.675,4.7,6.625,5.716,71.25,54.0,0.764,4.357,1.0,96.0
INST.BADALONA VII,9.169,4.5,3.65,5.85,5.4,8.4,5.9,5.3,3.45,6.0,9.0,5.745,1.98,7.5,2.5,10.0,4.838,4.65,5.7,8.7,6.715,81.0,60.0,0.794,5.336,1.0,78.0
INST.RONDA,11.44,6.475,7.35,5.5,5.875,7.1,5.775,6.05,4.325,6.15,6.35,6.095,1.47,7.75,2.25,10.0,6.412,4.912,6.013,6.725,6.758,73.875,60.0,0.846,5.808,1.0,55.75
ESCOLÀPIES LLURIA-BARCELONA,11.019,5.0,5.433,4.967,2.667,5.767,5.133,5.7,5.3,5.733,5.133,5.083,1.427,5.667,4.333,10.0,5.317,5.133,4.2,5.45,6.169,95.5,60.0,0.679,4.324,1.0,111.667
"MIRASAN, COL.LEGI",9.732,2.9,5.6,4.5,3.7,0.4,1.6,4.5,5.0,4.7,5.0,3.79,1.67,3.0,7.0,10.0,3.65,4.75,4.2,2.7,5.168,106.5,42.0,0.394,2.038,1.0,158.0
SAGRAT COR - EL VENDRELL,12.381,5.95,5.25,5.4,4.75,5.25,9.3,9.2,9.1,10.0,9.3,5.625,0.915,5.0,2.5,7.5,5.938,5.65,5.35,5.25,4.996,45.0,30.0,0.5,4.376,1.0,100.0
