HSCHOOL,AC_GRADE,Linear Algebra,Calculus I,Basic Mechanics,Chemistry I,Fundamentals of Informatics,Geometry,Calculus II,Basic Thermodynamics,Chemistry II,Engineering Drawing,MEAN,STD,PASSED,FAILED,NUM_SUBJ,Maths,Physics,Chemistry,Informatics,MEAN_CRED,ENROL_ECTS,PASS_ECTS,ALPHA,RANK_MEAN,NUM_STUD,RANKING
INST.BANÚS,10.172,6.567,5.2,5.0,6.467,6.567,4.933,5.45,5.8,5.8,5.8,5.743,1.047,9.0,0.667,9.667,5.392,5.4,6.133,6.183,5.704,60.0,56.0,0.933,5.381,3.0,35.0
INST.BERENGUER D'ENTENÇA,11.549,6.367,5.133,6.167,7.033,5.867,6.333,5.2,5.267,5.267,6.667,5.93,0.907,9.0,1.0,10.0,5.758,5.717,6.15,6.267,6.112,66.0,60.0,0.923,5.67,3.0,57.0
INST.PERE ALSIUS I TORRENT,12.071,7.367,6.867,7.233,7.6,8.6,6.4,5.6,6.233,6.633,6.433,6.897,0.983,10.0,0.0,10.0,6.558,6.733,7.117,7.517,6.892,60.0,60.0,1.0,6.892,3.0,15.0
INST.CIUTAT DE BALAGUER,10.289,6.467,5.5,5.533,6.4,7.867,6.2,6.0,5.867,5.6,6.867,6.23,1.017,9.0,1.0,10.0,6.042,5.7,6.0,7.367,6.322,70.0,60.0,0.874,5.582,3.0,74.0
INFANT JESÚS,11.401,6.287,5.779,5.362,6.054,5.146,5.983,5.043,6.179,5.972,4.837,5.61,1.388,7.792,2.0,9.792,5.763,5.702,5.944,4.788,6.038,71.188,56.188,0.814,5.099,2.833,76.0
"BADALONÈS, COL.LEGI",11.574,6.264,4.881,6.017,6.939,6.492,4.683,4.475,4.778,5.894,6.006,5.643,1.371,7.972,2.028,10.0,5.076,5.397,6.417,6.249,6.324,75.833,60.0,0.844,5.382,2.833,67.167
INST.MONTSERRAT,10.836,5.74,5.167,5.465,4.958,6.668,5.268,4.562,4.308,6.125,6.225,5.325,1.527,7.183,2.433,9.617,5.081,4.785,5.287,6.347,5.814,68.5,53.9,0.782,4.873,2.8,79.6
TALLER GINEBRO,11.149,5.183,4.49,4.416,4.556,3.533,4.838,5.094,5.142,5.625,4.442,4.397,1.443,5.393,3.24,8.633,4.664,4.437,4.455,3.682,4.664,66.73,42.4,0.58,3.323,2.8,139.0
ESCOLA PIA DE NOSTRA SENYORA,10.904,5.41,5.51,5.179,5.156,5.129,5.371,5.402,4.944,6.033,5.894,5.403,1.478,7.771,2.229,10.0,5.424,5.061,5.595,5.511,6.034,76.25,58.5,0.799,4.878,2.75,96.25
SANT PAU,11.436,5.717,5.972,5.183,5.947,5.223,5.667,5.4,5.197,6.313,5.63,5.447,1.242,7.417,2.233,9.65,5.544,5.079,6.13,5.427,5.932,72.2,54.6,0.787,4.951,2.6,81.8
REIAL MONESTIR DE SANTA ISABEL,11.261,5.573,5.252,5.033,5.964,4.981,4.488,5.075,4.529,5.242,4.579,5.0,1.448,6.271,3.417,9.688,5.015,4.758,5.508,4.701,5.655,76.531,51.125,0.685,4.187,2.5,103.75
SAGRAT COR-DIPUTACIÓ,11.15,5.805,5.582,5.536,6.7,7.141,5.357,5.249,5.214,5.768,6.12,5.847,1.244,8.808,1.192,10.0,5.498,5.375,6.234,6.631,6.116,66.4,58.8,0.899,5.537,2.5,62.5
SANTA TERESA DE JESÚS,11.104,6.11,4.04,5.18,5.555,5.24,3.83,5.225,4.388,4.955,4.472,4.9,1.494,5.9,4.1,10.0,4.801,4.784,5.255,4.856,5.709,88.162,54.0,0.688,4.114,2.5,103.75
INST.JAUME VICENS VIVES,10.724,6.425,5.483,5.733,6.425,6.642,5.542,5.934,5.384,6.716,6.658,6.094,1.035,8.416,1.584,10.0,5.846,5.558,6.571,6.65,6.466,73.125,60.0,0.86,5.646,2.5,55.5
LA SALLE-REUS,11.567,6.512,5.681,5.929,6.508,6.079,6.071,5.84,6.425,7.146,6.917,6.307,1.202,8.438,1.438,9.875,6.021,6.177,6.827,6.498,6.589,67.719,58.5,0.886,5.931,2.5,45.25
ESCOLA ELISABETH,11.291,5.8,4.542,4.767,4.892,6.25,3.992,3.258,4.266,4.425,5.25,4.744,1.641,6.084,3.916,10.0,4.398,4.517,4.658,5.75,5.168,69.125,45.0,0.645,3.552,2.5,119.0
INST.NARCÍS MONTURIOL - BCN,10.624,6.175,5.558,4.825,4.292,5.834,5.466,4.192,4.566,4.5,5.566,5.098,1.493,7.5,2.5,10.0,5.348,4.696,4.396,5.7,5.474,70.5,54.25,0.775,4.418,2.5,92.5
SANT GREGORI,11.316,5.2,5.278,4.967,5.632,5.672,5.353,5.687,5.07,5.117,5.083,5.189,1.3,6.433,3.117,9.55,5.202,4.954,5.29,5.285,5.665,73.925,50.2,0.697,4.406,2.4,100.4
VIROLAI,11.353,4.4,4.427,4.522,4.798,5.322,5.808,4.414,4.267,5.644,6.089,4.585,1.402,5.267,3.733,9.0,4.276,4.278,4.657,5.437,4.827,73.3,42.7,0.584,3.564,2.4,103.2
INST.JOAQUIM BAU,11.335,5.827,5.522,5.632,5.915,5.093,4.967,5.055,4.988,6.18,5.185,5.389,1.322,7.383,2.483,9.867,5.343,5.31,5.934,5.081,5.972,76.4,57.2,0.78,4.792,2.4,97.4
TECLA SALA,10.679,4.982,4.183,4.007,5.727,5.045,4.713,4.72,4.59,5.423,5.317,4.591,1.619,6.017,3.217,9.233,4.392,4.136,5.06,4.896,4.801,70.625,43.25,0.622,3.68,2.4,130.0
MARISTES VALLDEMIA,10.766,5.566,5.35,5.614,5.506,5.358,5.112,4.756,4.974,4.268,5.024,5.153,1.296,7.58,2.42,10.0,5.196,5.294,4.887,5.191,5.558,73.8,55.2,0.794,4.738,2.4,97.4
XALOC,10.912,5.597,5.519,5.581,5.633,5.419,4.623,5.099,5.048,5.357,5.697,5.311,1.119,7.447,2.273,9.72,5.172,5.205,5.408,5.558,5.652,69.38,54.03,0.801,4.733,2.4,91.6
PARE MANYANET,11.17,5.19,4.533,4.052,5.043,5.515,4.507,4.447,4.765,5.243,4.167,4.737,1.361,5.383,4.467,9.85,4.668,4.408,4.99,4.765,5.626,87.85,54.675,0.662,3.762,2.4,119.2
"JESÚS, MARIA I JOSEP",11.559,5.636,4.933,4.744,4.328,5.117,6.417,5.858,4.8,6.216,6.907,4.936,1.16,6.167,2.5,8.667,5.159,4.397,4.236,5.436,5.132,61.917,46.25,0.694,4.384,2.333,88.167
IPSE,11.496,7.106,7.122,6.833,6.467,7.694,6.617,6.139,6.667,6.422,6.039,6.711,1.072,9.389,0.611,10.0,6.746,6.75,6.444,6.867,6.901,63.667,60.0,0.952,6.588,2.333,29.667
LESTONNAC - LLEIDA,11.668,6.667,5.95,5.533,6.625,5.258,5.433,5.411,6.244,6.433,5.933,5.816,1.188,7.667,1.917,9.583,5.829,5.671,6.308,5.442,6.257,68.875,54.0,0.79,5.449,2.333,72.667
INST.CORBERA DE LLOBREGAT,11.069,6.311,5.867,5.572,5.667,6.939,6.061,6.233,5.606,6.456,7.067,6.178,1.073,9.444,0.556,10.0,6.118,5.589,6.061,7.003,6.358,63.333,60.0,0.953,6.061,2.333,41.0
SANT PETER'S SCHOOL,10.489,4.46,5.108,4.967,3.872,4.548,3.347,5.124,4.922,5.732,4.81,4.537,1.478,5.583,3.667,9.25,4.443,4.744,4.493,4.582,4.833,77.875,47.45,0.621,3.442,2.333,135.5
INST.LES CORTS,10.751,4.711,4.714,4.581,5.347,4.839,3.972,4.983,4.094,5.819,5.078,4.703,1.679,5.917,3.472,9.389,4.419,4.372,5.368,4.818,5.424,79.75,52.667,0.667,3.891,2.333,121.167
TURÓ,11.443,5.717,5.558,4.757,4.73,5.109,4.818,5.28,4.797,5.248,5.425,5.104,1.417,5.728,4.05,9.778,5.273,4.777,4.866,5.203,5.932,82.467,52.708,0.68,4.441,2.333,101.833
"MIREIA,C.E.",11.278,4.442,4.242,4.783,6.508,5.375,5.692,5.2,4.508,6.742,5.433,5.292,1.41,7.083,2.917,10.0,4.894,4.646,6.625,5.404,6.164,78.625,60.0,0.778,4.816,2.333,91.333
INST.MANUEL CARRASCO I FORMIG.,11.891,6.358,5.658,6.342,6.767,6.5,5.458,4.95,5.725,6.317,5.183,5.926,1.274,8.167,1.833,10.0,5.606,6.033,6.542,5.842,5.993,64.125,50.5,0.824,5.304,2.333,74.667
JOAN PELEGRÍ,10.836,4.89,4.762,5.003,5.243,6.201,4.717,4.417,3.887,4.972,5.565,4.966,1.606,5.667,4.333,10.0,4.696,4.445,5.108,5.883,6.016,84.25,55.146,0.667,4.156,2.333,116.667
INST.MANUEL DE CABANYES,10.538,5.0,4.481,4.119,4.969,4.006,4.439,4.778,5.722,4.933,5.267,4.485,1.386,4.125,3.938,8.062,4.45,4.134,4.859,4.14,4.38,63.375,35.344,0.491,2.784,2.25,133.75
CASA DEL ROURE,10.728,5.505,5.908,5.522,4.737,3.422,4.937,5.287,5.2,5.19,4.51,5.0,1.393,5.983,3.917,9.9,5.387,5.304,4.963,3.966,5.661,79.1,50.175,0.654,3.979,2.2,122.0
CLAVER,11.036,5.283,5.43,5.742,5.444,4.442,4.633,4.753,4.64,5.577,4.836,4.904,1.448,5.945,3.389,9.333,4.919,5.129,5.217,4.639,5.329,72.333,44.25,0.637,3.979,2.167,105.667
