Nom,Nom naturalesa,Adreça,Codi postal,Comarca,Codi comarca,Municipi,Codi municipi
"LA MIRANDA, INSTITUCIO",Privat,"C. Dos de Maig, 7-11",8960,Baix Llobregat,11,Sant Just Desvern,8221
INST.GUISSONA,Públic,"C. Castanyers, 13",25210,Segarra,32,Guissona,25110
FRETA-CALELLA,Privat,"C. Costa i Fornaguera, 2-14",8370,Maresme,21,Calella,8035
INST.SALVADOR DALI,Públic,"Av. Pare Andreu de Palma de Mallorca,1-3",8820,Baix Llobregat,11,El Prat de Llobregat,8169
JESUÏTES GRÀCIA-KOSTKA,Privat,"C. Antequera, 2-4",8024,Barcelonès,13,Barcelona,8019
INST.LES CORTS,Públic,"Travessera de les Corts, 131-159",8028,Barcelonès,13,Barcelona,8019
SANT GABRIEL-TORROELLA,Privat,"Rda. Pau Casals, 121",17257,Baix Empordà,10,Torroella de Montgrí,17199
INST.ARNAU CADELL,Públic,"Av. Villadelprat, 91-93",8190,Vallès Occidental,40,Sant Cugat del Vallès,8205
"ISABEL DE VILLENA, ESCOLA",Privat,"C. Joan Miró, 41-43",8950,Baix Llobregat,11,Esplugues de Llobregat,8077
INST.GABRIEL FERRATER I SOLER,Públic,"Ctra. de Montblanc, 5-9",43206,Baix Camp,8,Reus,43123
"SANT GERVASI, ESCOLA",Privat,"C. Sabadell, 41",8100,Vallès Oriental,41,Mollet del Vallès,8124
"MERITXELL, ESCOLA",Privat,"C. Passet, 16",8304,Maresme,21,Mataró,8121
INST.PERE RIBOT,Públic,"C. Santa Eugènia, 62-72",8340,Maresme,21,Vilassar de Mar,8219
INST.PERE VIVES VICH,Públic,"Av. Emili Vallès, 17",8700,Anoia,6,Igualada,8102
INST.RAMON TURRO I DARDER,Públic,"Av. Tarragona, 4-12",8380,Maresme,21,Malgrat de Mar,8110
INST.BAIX PENEDÈS,Públic,"Av. Salvador Palau Rabassó, 1",43700,Baix Penedès,12,El Vendrell,43163
LA SALLE MANRESA,Privat,"C. Pau, s/n",8240,Bages,7,Manresa,8113
LA SALLE CONGRÉS,Privat,"C. Cardenal Tedeschini, 50",8027,Barcelonès,13,Barcelona,8019
TURÓ,Privat,"Ctra. de Reus, s/n",43120,Tarragonès,36,Constantí,43047
LA SALLE-REUS,Privat,"Pl. la Pastoreta, 10",43205,Baix Camp,8,Reus,43123
INST.MARIUS TORRES,Públic,"C. Narcís Monturiol, 2",25002,Segrià,33,Lleida,25120
SANT PETER'S SCHOOL,Privat,"C. Eduard Toldrà, 18",8034,Barcelonès,13,Barcelona,8019
SALESIANS SANT VICENC DELS HOR,Privat,"C. Rafael Casanova, 132",8620,Baix Llobregat,11,Sant Vicenç dels Horts,8263
INST.RAMON MUNTANER,Públic,"C. Sant Pau, s/n",17600,Alt Empordà,2,Figueres,17066
INST.ALELLA,Públic,"Av. del Bosquet, 7",8328,Maresme,21,Alella,8003
AURA,Privat,"Ctra. de Tarragona- Reus, s/n",43204,Baix Camp,8,Reus,43123
"JESÚS, MARIA I JOSEP",Privat,"C. Sant Sebastià, 55",8030,Barcelonès,13,Barcelona,8019
ESCOLA PIA SANTA ANNA MATARO,Privat,"Pl. Santa Anna, 1",8302,Maresme,21,Mataró,8121
SANT PAU,Privat,"Av. Pearson, 39-45",8034,Barcelonès,13,Barcelona,8019
SAGRADA FAMÍLIA COL DIOCESÀ,Privat,"C. Pujada al Seminari, 16",43500,Baix Ebre,9,Tortosa,43155
CLAVER,Privat,"Ctra. d'Osca, Km 17(finca Vallfonda)",25111,Segrià,33,Lleida,25120
INST.FLIX,Públic,"C. Salvador Espriu, 1",43750,Ribera d'Ebre,30,Flix,43060
MARISTES VALLDEMIA,Privat,"C. de la Riera, 124-182",8301,Maresme,21,Mataró,8121
INST.ARGENTONA,Públic,"C. Peons Caminers, 25",8310,Maresme,21,Argentona,8009
PALCAM,Privat,"C. Rosalía de Castro, 30-34",8025,Barcelonès,13,Barcelona,8019
INST.GORGS,Públic,"C. de l'Àliga, 65",8290,Vallès Occidental,40,Cerdanyola del Vallès,8266
INST.VILA DE GRÀCIA,Públic,"C. Riera de Sant Miquel, 58-62",8006,Barcelonès,13,Barcelona,8019
MARISTES LA IMMACULADA,Privat,"C. València, 370",8009,Barcelonès,13,Barcelona,8019
JOAN PELEGRÍ,Privat,"C. Consell de Cent,14",8014,Barcelonès,13,Barcelona,8019
"PEREZ IBORRA, ESCOLES",Privat,"C. Consell de Cent, 321-323",8007,Barcelonès,13,Barcelona,8019
VEDRUNA-GRÀCIA,Privat,"C. Gran de Gràcia, 228-240",8012,Barcelonès,13,Barcelona,8019
INST.LA POBLA DE SEGUR,Públic,"Av. Catalunya, 22",25500,Pallars Jussà,25,La Pobla de Segur,25171
INST.JOAN BOSCÀ,Públic,"Av. d'Esplugues, 40",8034,Barcelonès,13,Barcelona,8019
MADRES CONCEP.DE LA ENSEñANZA,Privat,"C. de la Torre, 19",8006,Barcelonès,13,Barcelona,8019
INST.LLUIS DOMENECH I M -CANET,Públic,"C. Francesc Cambó, 2",8360,Maresme,21,Canet de Mar,8040
INST.TERRA ALTA,Públic,"Ctra. de Vilalba, 30",43780,Terra Alta,37,Gandesa,43064
LESTONNAC - BARCELONA,Privat,"C. Pau Claris, 131",8009,Barcelonès,13,Barcelona,8019
